*DEBUG* 	2012/04/15 - 14:31:52: -- /home/eihwaz/webdev/ps15b4/modules/germanext/backup/override/classes/Product.php
*DEBUG* 	2012/04/15 - 14:31:52: -> /home/eihwaz/webdev/ps15b4/override/classes/Product.php
*DEBUG* 	2012/04/15 - 14:31:52: Started dir copy
*DEBUG* 	2012/04/15 - 14:31:52: From /home/eihwaz/webdev/ps15b4/modules/germanext/backup/override/controllers
*DEBUG* 	2012/04/15 - 14:31:52: To /home/eihwaz/webdev/ps15b4/override/controllers
*DEBUG* 	2012/04/15 - 14:31:52: Started dir copy
*DEBUG* 	2012/04/15 - 14:31:52: From /home/eihwaz/webdev/ps15b4/modules/germanext/backup/override/controllers/admin
*DEBUG* 	2012/04/15 - 14:31:52: To /home/eihwaz/webdev/ps15b4/override/controllers/admin
*DEBUG* 	2012/04/15 - 14:31:52: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:31:52: -- /home/eihwaz/webdev/ps15b4/modules/germanext/backup/override/controllers/admin/AdminPreferencesController.php
*DEBUG* 	2012/04/15 - 14:31:52: -> /home/eihwaz/webdev/ps15b4/override/controllers/admin/AdminPreferencesController.php
*DEBUG* 	2012/04/15 - 14:31:52: Started dir copy
*DEBUG* 	2012/04/15 - 14:31:52: From /home/eihwaz/webdev/ps15b4/modules/germanext/backup/tools
*DEBUG* 	2012/04/15 - 14:31:52: To /home/eihwaz/webdev/ps15b4/tools
*DEBUG* 	2012/04/15 - 14:31:52: Started dir copy
*DEBUG* 	2012/04/15 - 14:31:52: From /home/eihwaz/webdev/ps15b4/modules/germanext/backup/tools/smarty
*DEBUG* 	2012/04/15 - 14:31:52: To /home/eihwaz/webdev/ps15b4/tools/smarty
*DEBUG* 	2012/04/15 - 14:31:52: Started dir copy
*DEBUG* 	2012/04/15 - 14:31:52: From /home/eihwaz/webdev/ps15b4/modules/germanext/backup/tools/smarty/sysplugins
*DEBUG* 	2012/04/15 - 14:31:52: To /home/eihwaz/webdev/ps15b4/tools/smarty/sysplugins
*DEBUG* 	2012/04/15 - 14:31:52: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:31:52: -- /home/eihwaz/webdev/ps15b4/modules/germanext/backup/tools/smarty/sysplugins/smarty_internal_compile_include.php
*DEBUG* 	2012/04/15 - 14:31:52: -> /home/eihwaz/webdev/ps15b4/tools/smarty/sysplugins/smarty_internal_compile_include.php
*DEBUG* 	2012/04/15 - 14:31:52: Start set configs
*DEBUG* 	2012/04/15 - 14:31:54: Finished set configs
*DEBUG* 	2012/04/15 - 14:31:54: Constructed
*DEBUG* 	2012/04/15 - 14:31:56: Constructed
*DEBUG* 	2012/04/15 - 14:33:33: Constructed
*DEBUG* 	2012/04/15 - 14:33:33: Started install
*DEBUG* 	2012/04/15 - 14:33:33: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:33: From /home/eihwaz/webdev/ps15b4
*DEBUG* 	2012/04/15 - 14:33:33: To /home/eihwaz/webdev/ps15b4/modules/germanext/backup
*DEBUG* 	2012/04/15 - 14:33:33: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:33: From /home/eihwaz/webdev/ps15b4/classes
*DEBUG* 	2012/04/15 - 14:33:33: To /home/eihwaz/webdev/ps15b4/modules/germanext/backup/classes
*DEBUG* 	2012/04/15 - 14:33:33: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:33:33: -- /home/eihwaz/webdev/ps15b4/classes/PaymentCost.php
*DEBUG* 	2012/04/15 - 14:33:33: -> /home/eihwaz/webdev/ps15b4/modules/germanext/backup/classes/PaymentCost.php
*DEBUG* 	2012/04/15 - 14:33:33: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:33: From /home/eihwaz/webdev/ps15b4/override
*DEBUG* 	2012/04/15 - 14:33:33: To /home/eihwaz/webdev/ps15b4/modules/germanext/backup/override
*DEBUG* 	2012/04/15 - 14:33:33: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:33: From /home/eihwaz/webdev/ps15b4/override/classes
*DEBUG* 	2012/04/15 - 14:33:33: To /home/eihwaz/webdev/ps15b4/modules/germanext/backup/override/classes
*DEBUG* 	2012/04/15 - 14:33:33: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:33:33: -- /home/eihwaz/webdev/ps15b4/override/classes/Category.php
*DEBUG* 	2012/04/15 - 14:33:33: -> /home/eihwaz/webdev/ps15b4/modules/germanext/backup/override/classes/Category.php
*DEBUG* 	2012/04/15 - 14:33:33: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:33:33: -- /home/eihwaz/webdev/ps15b4/override/classes/Combination.php
*DEBUG* 	2012/04/15 - 14:33:33: -> /home/eihwaz/webdev/ps15b4/modules/germanext/backup/override/classes/Combination.php
*DEBUG* 	2012/04/15 - 14:33:33: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:33: From /home/eihwaz/webdev/ps15b4/override/classes/controller
*DEBUG* 	2012/04/15 - 14:33:33: To /home/eihwaz/webdev/ps15b4/modules/germanext/backup/override/classes/controller
*DEBUG* 	2012/04/15 - 14:33:33: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:33:33: -- /home/eihwaz/webdev/ps15b4/override/classes/controller/AdminController.php
*DEBUG* 	2012/04/15 - 14:33:33: -> /home/eihwaz/webdev/ps15b4/modules/germanext/backup/override/classes/controller/AdminController.php
*DEBUG* 	2012/04/15 - 14:33:33: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:33:33: -- /home/eihwaz/webdev/ps15b4/override/classes/controller/Controller.php
*DEBUG* 	2012/04/15 - 14:33:33: -> /home/eihwaz/webdev/ps15b4/modules/germanext/backup/override/classes/controller/Controller.php
*DEBUG* 	2012/04/15 - 14:33:33: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:33:33: -- /home/eihwaz/webdev/ps15b4/override/classes/Customer.php
*DEBUG* 	2012/04/15 - 14:33:33: -> /home/eihwaz/webdev/ps15b4/modules/germanext/backup/override/classes/Customer.php
*DEBUG* 	2012/04/15 - 14:33:33: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:33:33: -- /home/eihwaz/webdev/ps15b4/override/classes/Product.php
*DEBUG* 	2012/04/15 - 14:33:33: -> /home/eihwaz/webdev/ps15b4/modules/germanext/backup/override/classes/Product.php
*DEBUG* 	2012/04/15 - 14:33:33: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:33: From /home/eihwaz/webdev/ps15b4/override/controllers
*DEBUG* 	2012/04/15 - 14:33:33: To /home/eihwaz/webdev/ps15b4/modules/germanext/backup/override/controllers
*DEBUG* 	2012/04/15 - 14:33:33: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:33: From /home/eihwaz/webdev/ps15b4/override/controllers/admin
*DEBUG* 	2012/04/15 - 14:33:33: To /home/eihwaz/webdev/ps15b4/modules/germanext/backup/override/controllers/admin
*DEBUG* 	2012/04/15 - 14:33:33: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:33:33: -- /home/eihwaz/webdev/ps15b4/override/controllers/admin/AdminPreferencesController.php
*DEBUG* 	2012/04/15 - 14:33:33: -> /home/eihwaz/webdev/ps15b4/modules/germanext/backup/override/controllers/admin/AdminPreferencesController.php
*DEBUG* 	2012/04/15 - 14:33:33: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:33: From /home/eihwaz/webdev/ps15b4/tools
*DEBUG* 	2012/04/15 - 14:33:33: To /home/eihwaz/webdev/ps15b4/modules/germanext/backup/tools
*DEBUG* 	2012/04/15 - 14:33:33: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:33: From /home/eihwaz/webdev/ps15b4/tools/smarty
*DEBUG* 	2012/04/15 - 14:33:33: To /home/eihwaz/webdev/ps15b4/modules/germanext/backup/tools/smarty
*DEBUG* 	2012/04/15 - 14:33:33: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:33: From /home/eihwaz/webdev/ps15b4/tools/smarty/sysplugins
*DEBUG* 	2012/04/15 - 14:33:33: To /home/eihwaz/webdev/ps15b4/modules/germanext/backup/tools/smarty/sysplugins
*DEBUG* 	2012/04/15 - 14:33:33: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:33:33: -- /home/eihwaz/webdev/ps15b4/tools/smarty/sysplugins/smarty_internal_compile_include.php
*DEBUG* 	2012/04/15 - 14:33:33: -> /home/eihwaz/webdev/ps15b4/modules/germanext/backup/tools/smarty/sysplugins/smarty_internal_compile_include.php
*DEBUG* 	2012/04/15 - 14:33:33: Copy to backup finished
*DEBUG* 	2012/04/15 - 14:33:33: Start set configs
*DEBUG* 	2012/04/15 - 14:33:35: Finished set configs
*DEBUG* 	2012/04/15 - 14:33:35: Start set CMS
*DEBUG* 	2012/04/15 - 14:33:39: Finished set CMS
*DEBUG* 	2012/04/15 - 14:33:39: Start db alter
*DEBUG* 	2012/04/15 - 14:33:39:  - Processing table product
*DEBUG* 	2012/04/15 - 14:33:39:  -- Processing field reduction_reason
*DEBUG* 	2012/04/15 - 14:33:39:  - Table processed
*DEBUG* 	2012/04/15 - 14:33:39:  -- Processing field unit_net
*DEBUG* 	2012/04/15 - 14:33:41:  - Table processed
*DEBUG* 	2012/04/15 - 14:33:41:  - Processing table product_lang
*DEBUG* 	2012/04/15 - 14:33:41:  -- Processing field reduction_reason
*DEBUG* 	2012/04/15 - 14:33:42:  - Table processed
*DEBUG* 	2012/04/15 - 14:33:42:  - Processing table product_attribute
*DEBUG* 	2012/04/15 - 14:33:42:  -- Processing field unit_net_impact
*DEBUG* 	2012/04/15 - 14:33:50:  - Table processed
*DEBUG* 	2012/04/15 - 14:33:50:  - Processing table attribute_impact
*DEBUG* 	2012/04/15 - 14:33:50:  -- Processing field net
*DEBUG* 	2012/04/15 - 14:33:54:  - Table processed
*DEBUG* 	2012/04/15 - 14:33:54:  - Processing table cart
*DEBUG* 	2012/04/15 - 14:33:54:  -- Processing field id_payment
*DEBUG* 	2012/04/15 - 14:33:55:  - Table processed
*DEBUG* 	2012/04/15 - 14:33:55:  - Processing table orders
*DEBUG* 	2012/04/15 - 14:33:55:  -- Processing field total_payment
*DEBUG* 	2012/04/15 - 14:33:56:  - Table processed
*DEBUG* 	2012/04/15 - 14:33:56:  -- Processing field payment_message
*DEBUG* 	2012/04/15 - 14:33:58:  - Table processed
*DEBUG* 	2012/04/15 - 14:33:58:  - Processing table customer
*DEBUG* 	2012/04/15 - 14:33:58:  -- Processing field statistic
*DEBUG* 	2012/04/15 - 14:33:58:  - Table processed
*DEBUG* 	2012/04/15 - 14:33:58:  -- Processing field email
*DEBUG* 	2012/04/15 - 14:33:58:  - Table processed
*DEBUG* 	2012/04/15 - 14:33:58: Finished processing tables
*DEBUG* 	2012/04/15 - 14:33:58: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:58: From /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy/
*DEBUG* 	2012/04/15 - 14:33:58: To /home/eihwaz/webdev/ps15b4
*DEBUG* 	2012/04/15 - 14:33:58: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:58: From /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy//classes
*DEBUG* 	2012/04/15 - 14:33:58: To /home/eihwaz/webdev/ps15b4/classes
*DEBUG* 	2012/04/15 - 14:33:58: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:33:58: -- /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy//classes/PaymentCost.php
*DEBUG* 	2012/04/15 - 14:33:58: -> /home/eihwaz/webdev/ps15b4/classes/PaymentCost.php
*DEBUG* 	2012/04/15 - 14:33:58: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:58: From /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy//override
*DEBUG* 	2012/04/15 - 14:33:58: To /home/eihwaz/webdev/ps15b4/override
